,forecast_optimized_cost,actual_backtest_cost,cost_reduction_vs_persistence_%
Persistence,41627.588464480476,44090.19034547591,0.0
ARX,39563.21690067428,42398.12833903727,3.837728966874965
LSTM,49533.99493564002,46069.61788687546,-4.489496475042221
