datetime,solar_forecast_kw,load_kw,price_usd_kwh,p_grid_kw,p_ch_kw,p_dis_kw,p_curtail_kw,soc_kwh,model
2024-01-02 01:30:00,4.13533834564874,41.33974596215562,0.15,41.32094638551657,4.116538787761667,2.0794394200524546e-08,2.042420563180092e-09,103.91071182648474,Persistence
2024-01-02 02:30:00,0.0,45.0,0.15,49.00392558840912,4.003925609230867,2.0815217886199567e-08,-6.543877736667228e-12,107.71444113334334,Persistence
2024-01-02 03:30:00,0.0,50.0,0.15,53.9556411575946,3.9556411784267023,2.082555966227115e-08,-6.54412329480728e-12,111.47230023092706,Persistence
2024-01-02 04:30:00,0.0,55.0,0.15,58.93592823326618,3.935928254103247,2.0830533418550147e-08,-6.544638563294836e-12,115.21143205039826,Persistence
2024-01-02 05:30:00,0.0,58.66025403784439,0.15,62.61014284595194,3.9498888289432545,2.0829167091950917e-08,-6.545150637622122e-12,118.96382641596892,Persistence
2024-01-02 06:30:00,0.0,60.0,0.15,64.00322836120871,4.003228382036108,2.0820852882113347e-08,-6.5453570519556175e-12,122.76689335698651,Persistence
2024-01-02 07:30:00,0.0,58.66025403784439,0.15,62.76268068189495,4.102426664862303,2.0805205428693502e-08,-6.545141378069263e-12,126.6641986667055,Persistence
2024-01-02 08:30:00,0.0,55.0,0.15,59.254848689459855,4.254848710248521,2.0782120492229814e-08,-6.5446178850405106e-12,130.7063049195657,Persistence
2024-01-02 09:30:00,0.0,50.0,0.15,54.471060997684006,4.4710610184424135,2.0751869548544473e-08,-6.544101259601231e-12,134.9538128652419,Persistence
2024-01-02 10:30:00,0.0,45.0,0.15,49.76817194648987,4.76817196721155,2.071513796970254e-08,-6.54387366293623e-12,139.48357621228743,Persistence
2024-01-02 11:30:00,0.0,41.33974596215561,0.15,46.5139248024167,5.174178860940486,2.067285213345773e-08,-6.543893070346359e-12,144.39904610842,Persistence
2024-01-02 12:30:00,0.0,40.0,0.15,45.744540011369814,5.744540032001583,2.0625221437028137e-08,-6.5439542432010696e-12,149.85635911711077,Persistence
2024-01-02 13:30:00,0.0,41.33974596215561,0.15,47.96868670784045,6.62894076626104,2.0569660646957865e-08,-6.54395599761498e-12,156.15385282340648,Persistence
2024-01-02 14:30:00,0.0,45.0,0.15,53.35481432705072,8.354814347555424,2.0498155431990296e-08,-6.5439746395877e-12,164.09092643200714,Persistence
2024-01-02 15:30:00,0.0,50.0,0.15,64.33494040090464,14.334940421298464,2.0387283224039775e-08,-6.5442170903237015e-12,177.70911981078035,Persistence
2024-01-02 16:30:00,4.7932330824564895,55.0,0.45,0.2067669201191451,9.63851830188466e-10,49.99999999896521,5.770209965597301e-10,125.07754086541685,Persistence
2024-01-02 17:30:00,21.14661654024923,58.66025403784439,0.45,1.008368801787589e-09,2.012713958674609e-08,37.51363751853489,1.8209536342683372e-09,85.58950139134302,Persistence
2024-01-02 18:30:00,36.18421052442647,60.0,0.45,1.0069178113023787e-09,2.0237204455274002e-08,23.815789496626557,1.8227350878957519e-09,60.5202493088562,Persistence
2024-01-02 19:30:00,47.27443608775718,58.66025403784439,0.45,1.0057535882634574e-09,2.035061287131844e-08,11.38581797125682,1.8247515346178606e-09,48.53517777949789,Persistence
2024-01-02 20:30:00,52.537593982219214,55.0,0.45,1.0032645774937267e-09,2.0877856568101445e-08,2.462406039486332,1.8309536446101516e-09,45.943171441977825,Persistence
2024-01-02 21:30:00,50.469924809394854,50.0,0.45,9.43483992621263e-10,0.4699248302549385,2.1950118043250173e-08,2.0335069480100973e-09,46.389600007614625,Persistence
2024-01-02 22:30:00,37.21804511083866,45.0,0.15,24.223958160205683,16.442003289375084,2.037956838000371e-08,2.0488255717244343e-09,62.009503111068774,Persistence
2024-01-02 23:30:00,24.81203007389243,41.33974596215562,0.15,26.603741765312478,10.076025895470224,2.046922840692476e-08,2.0482931971232147e-09,71.58172769021893,Persistence
2024-01-03 00:30:00,19.36090225462819,40.0,0.15,28.673751472760106,8.03465374586848,2.0528046304515748e-08,2.047860007843458e-09,79.21464872718552,Persistence
2024-01-03 01:30:00,4.22932330804984,41.33974596215562,0.15,43.689828913770235,6.5794062782177765,2.059584058405793e-08,2.0425115508289416e-09,85.46508466981257,Persistence
2024-01-03 02:30:00,0.0,45.0,0.15,50.98316133411677,5.983161354757801,2.063448647580396e-08,-6.5440617077797335e-12,91.14908793511195,Persistence
2024-01-03 03:30:00,0.0,50.0,0.15,55.62854920765327,5.628549228321905,2.0662085259758605e-08,-6.544165042202987e-12,96.49620968026821,Persistence
2024-01-03 04:30:00,0.0,55.0,0.15,60.39179997523363,5.391799995922954,2.0682786417066303e-08,-6.544638171731976e-12,101.61841965462365,Persistence
2024-01-03 05:30:00,0.0,58.66025403784439,0.15,63.91154479129012,5.2512907741482024,2.0695935837524e-08,-6.545151372076366e-12,106.60714586827926,Persistence
2024-01-03 06:30:00,0.0,60.0,0.15,65.19619670555737,5.196196726265099,2.07011890352612e-08,-6.545363714156379e-12,111.54353273644038,Persistence
2024-01-03 07:30:00,0.0,58.66025403784439,0.15,63.88267617054237,5.222422153402989,2.0698475643505432e-08,-6.545151673698034e-12,116.50483376038535,Persistence
2024-01-03 08:30:00,0.0,55.0,0.15,60.3303503953242,5.330350416018698,2.0687946804237612e-08,-6.544630629237678e-12,121.56866663382633,Persistence
2024-01-03 09:30:00,0.0,50.0,0.15,55.526194683213944,5.526194703890451,2.066997558776971e-08,-6.544115941151887e-12,126.81855158076438,Persistence
2024-01-03 10:30:00,0.0,45.0,0.15,50.824592530839354,5.824592551491121,2.0645219058049012e-08,-6.543890082253476e-12,132.35191448294913,Persistence
2024-01-03 11:30:00,0.0,41.33974596215561,0.15,47.59191203470555,6.252166093171006,2.061452985361609e-08,-6.543911186044259e-12,138.2914722497621,Persistence
2024-01-03 12:30:00,0.0,40.0,0.15,46.86576179340686,6.865761813991524,2.0578122039283188e-08,-6.543973426562746e-12,144.81394595139284,Persistence
2024-01-03 13:30:00,0.0,41.33974596215561,0.15,49.16755934961915,7.827813408003757,2.0533681212708758e-08,-6.543975355584027e-12,152.25036866738202,Persistence
2024-01-03 14:30:00,0.0,45.0,0.15,54.71350467266379,9.713504693144266,2.0473933984858764e-08,-6.543993626268427e-12,161.47819810431756,Persistence
2024-01-03 15:30:00,0.0,50.0,0.15,65.99187281620527,15.991872836589556,2.037773545386909e-08,-6.54423210897843e-12,176.67047727762738,Persistence
