datetime,solar_forecast_kw,load_kw,price_usd_kwh,p_grid_kw,p_ch_kw,p_dis_kw,p_curtail_kw,soc_kwh,model
2024-01-02 01:30:00,0.10115653,41.33974596215562,0.15,44.82600280391968,3.587413494563316,1.3576214410541112e-07,1.2962880467010398e-08,103.40804267692762,LSTM
2024-01-02 02:30:00,0.0,45.0,0.15,48.5139931326836,3.513993268402143,1.3566650271599943e-07,-5.203496610035698e-11,106.74633613910285,LSTM
2024-01-02 03:30:00,0.16983598,50.0,0.15,53.2994507736924,3.469286876139575,1.3509851389408898e-07,1.2651339263648614e-08,110.04215852922647,LSTM
2024-01-02 04:30:00,0.38325787,55.0,0.15,58.06091409953152,3.4441720912266938,1.3422395656482012e-07,1.2528787514457427e-08,113.31412187460344,LSTM
2024-01-02 05:30:00,0.5159154499999999,58.66025403784439,0.15,61.59084435960476,3.4465058924999905,1.331902804646149e-07,1.2450663135814808e-08,116.58830233227815,LSTM
2024-01-02 06:30:00,0.5405888,60.0,0.15,62.9549606543726,3.495549574086657,1.3212507130566036e-07,1.2411014890703282e-08,119.90907428858144,LSTM
2024-01-02 07:30:00,0.44923574,58.66025403784439,0.15,61.81744956449679,3.6064313853932486,1.311870395724236e-07,1.2446175834673422e-08,123.3351839666134,LSTM
2024-01-02 08:30:00,0.2551645,55.0,0.15,58.525694938152704,3.7808595561572607,1.30556049806838e-07,1.2551483214606431e-08,126.92700040753539,LSTM
2024-01-02 09:30:00,0.0,50.0,0.15,54.01400925469918,4.014009385053775,1.3030240720127786e-07,-5.219130640459099e-11,130.74030918617603,LSTM
2024-01-02 10:30:00,0.0,45.0,0.15,49.31348270834648,4.313482838728839,1.3033027580095266e-07,-5.2081157040392805e-11,134.83811774577867,LSTM
2024-01-02 11:30:00,0.0,41.33974596215561,0.15,46.03444990489794,4.694704073306651,1.305121569890505e-07,-5.217083239587764e-11,139.29808647803878,LSTM
2024-01-02 12:30:00,0.0,40.0,0.15,45.20451032552421,5.204510456340801,1.3076433033396886e-07,-5.2266125582945426e-11,144.24237127391586,LSTM
2024-01-02 13:30:00,0.0,41.33974596215561,0.15,47.28374633069867,5.9440004997182285,1.3112289373291748e-07,-5.2284295074846556e-11,149.88917161062406,LSTM
2024-01-02 14:30:00,0.0,45.0,0.15,52.202991241490814,7.202991373217805,1.316746810028292e-07,-5.230836853103533e-11,156.73201327657605,LSTM
2024-01-02 15:30:00,5.1266447,50.0,0.15,55.41303101161016,10.539675829825601,1.3116992336885724e-07,1.2954483019809991e-08,166.74470517683676,LSTM
2024-01-02 16:30:00,18.298353,55.0,0.45,8.585146476792946e-09,1.3210054662403426e-07,36.70164713534473,1.1829320500447673e-08,128.11139252828522,LSTM
2024-01-02 17:30:00,35.392964,58.66025403784439,0.45,8.805078057735137e-09,1.3363792927513044e-07,23.267290174726348,1.2049099485804364e-08,103.61950826079244,LSTM
2024-01-02 18:30:00,44.151926,60.0,0.45,8.464322281320099e-09,1.3335394261489467e-07,15.848074137053414,1.2163791028104158e-08,86.9373250853172,LSTM
2024-01-02 19:30:00,49.19827,58.66025403784439,0.45,8.02170407532036e-09,1.324471217517306e-07,9.461984174515765,1.2245955257552476e-08,76.97734186954642,LSTM
2024-01-02 20:30:00,48.35338,55.0,0.45,7.69034304392809e-09,1.3235251173210166e-07,6.646620136971233,1.2309064199316908e-08,69.98089974583789,LSTM
2024-01-02 21:30:00,40.41379,50.0,0.45,7.355283332756552e-09,1.3328619009424866e-07,9.586210138275646,1.2344735444100702e-08,59.8901523584854,LSTM
2024-01-02 22:30:00,24.070573,45.0,0.15,31.480723264701997,10.551296383282628,1.322552573171589e-07,1.3674621817798086e-08,69.91388378338785,LSTM
2024-01-02 23:30:00,10.1646006,41.33974596215562,0.15,38.917446982518506,7.7423017393684175,1.3218614641801551e-07,1.3180606022637855e-08,77.26907029664451,LSTM
2024-01-03 00:30:00,3.9771213999999997,40.0,0.15,42.470558294121304,6.447679812662937,1.3142348062459592e-07,1.288183951007074e-08,83.3943659803338,LSTM
2024-01-03 01:30:00,0.70183277,41.33974596215562,0.15,46.35468161512079,5.7167685410970215,1.3074279679675879e-07,1.2610940046233196e-08,88.82529595675197,LSTM
2024-01-03 02:30:00,0.18659531999999998,45.0,0.15,50.06499797677539,5.251593414117679,1.299999188371954e-07,1.2657629938907842e-08,93.81430956332174,LSTM
2024-01-03 03:30:00,0.29047280000000003,50.0,0.15,54.62692811587283,4.917401032321379,1.2905113422820078e-07,1.260259408489446e-08,98.48584040818375,LSTM
2024-01-03 04:30:00,0.46021789999999996,55.0,0.15,59.21463884518293,4.674856860689401,1.2804623874720701e-07,1.253976417539223e-08,102.92695429105316,LSTM
2024-01-03 05:30:00,0.5792454,58.66025403784439,0.15,62.599390103621275,4.518381580591128,1.2727277658295032e-07,1.245852219525237e-08,107.21941665864338,LSTM
2024-01-03 06:30:00,0.60232133,60.0,0.15,63.854414941329516,4.456736385851377,1.269393822747689e-07,1.2417515209014919e-08,111.45331609158181,LSTM
2024-01-03 07:30:00,0.5154683999999999,58.66025403784439,0.15,62.6401616810522,4.495376157871722,1.271165998546983e-07,1.2452679316131697e-08,115.72392330775298,LSTM
2024-01-03 08:30:00,0.32945126,55.0,0.15,59.296849251340504,4.626300626583959,1.277747144684056e-07,1.2531265309111588e-08,120.11890876850805,LSTM
2024-01-03 09:30:00,0.081062317,50.0,0.15,54.75631827675029,4.837380709096291,1.2875526070792606e-07,1.3409246894170665e-08,124.71442030661765,LSTM
2024-01-03 10:30:00,0.0,45.0,0.15,50.132412513945724,5.1324126437818665,1.2978406899851873e-07,-5.208321432119641e-11,129.5902121815956,LSTM
2024-01-03 11:30:00,0.0,41.33974596215561,0.15,46.870134989614606,5.5303891581483615,1.3063719835672042e-07,-5.216960413577573e-11,134.84408174432372,LSTM
2024-01-03 12:30:00,0.0,40.0,0.15,46.082694330106534,6.082694461404349,1.3124556044558272e-07,-5.225976602690182e-11,140.62264134450461,LSTM
2024-01-03 13:30:00,0.0108763576,41.33974596215561,0.15,48.2431265028369,6.914257015995564,1.3171856169602385e-07,1.4004280310892067e-08,147.1911853710493,LSTM
