Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,204191,-,-,-,34.05,-118.26,0,120,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed
2023,1,4,7,30,12.8,0,0,0,95.66,2.7
2023,1,4,8,30,13,0,0,0,95.59,3
2023,1,4,9,30,13.100000000000001,0,0,0,96.27,3.1
2023,1,4,10,30,13.100000000000001,0,0,0,97.06,2.9000000000000004
2023,1,4,11,30,13,0,0,0,97.83,2.5
2023,1,4,12,30,13,0,0,0,97.53,2.6
2023,1,4,13,30,13,0,0,0,97.52,2.9000000000000004
2023,1,4,14,30,13.3,0,0,0,95.57000000000001,3.3000000000000003
2023,1,4,15,30,14,24,0,24,91.9,4
2023,1,4,16,30,14.700000000000001,61,3,62,90.22,4.6000000000000005
2023,1,4,17,30,15,31,0,31,90.14,4.800000000000001
2023,1,4,18,30,15.100000000000001,60,0,60,90.16,5.1000000000000005
2023,1,4,19,30,15.200000000000001,100,5,103,89.75,5.5
2023,1,4,20,30,15.200000000000001,56,0,56,89.10000000000001,5.6000000000000005
2023,1,4,21,30,14.9,65,0,65,90.06,5.300000000000001
2023,1,4,22,30,14.700000000000001,88,27,98,90.96000000000001,4.800000000000001
2023,1,4,23,30,14.4,59,8,61,92.48,4.2
2023,1,5,0,30,14.100000000000001,19,0,19,93.87,3.8000000000000003
2023,1,5,1,30,13.9,0,0,0,94.41,3.6
2023,1,5,2,30,13.9,0,0,0,94.21000000000001,3.7
2023,1,5,3,30,13.8,0,0,0,94.64,4
2023,1,5,4,30,13.600000000000001,0,0,0,95.2,4.2
2023,1,5,5,30,13.200000000000001,0,0,0,95.09,4.4
2023,1,5,6,30,12.9,0,0,0,94.21000000000001,4.5
2023,1,5,7,30,12.700000000000001,0,0,0,92.59,4.800000000000001
2023,1,5,8,30,12.5,0,0,0,90.66,4.9
2023,1,5,9,30,12.200000000000001,0,0,0,90.84,5.2
2023,1,5,10,30,12.100000000000001,0,0,0,90.95,5.6000000000000005
2023,1,5,11,30,12,0,0,0,91.5,5.300000000000001
2023,1,5,12,30,12,0,0,0,91.79,4.7
2023,1,5,13,30,12.100000000000001,0,0,0,92.22,4.5
2023,1,5,14,30,12.4,0,0,0,92.27,4.6000000000000005
2023,1,5,15,30,13,10,0,10,91.44,4.9
2023,1,5,16,30,13.700000000000001,69,16,73,90.79,5
2023,1,5,17,30,14.3,92,8,95,87.84,5
2023,1,5,18,30,14.9,116,121,176,80.84,4.9
2023,1,5,19,30,15.100000000000001,136,360,332,75.94,4.9
2023,1,5,20,30,15,195,105,252,74.95,5.1000000000000005
2023,1,5,21,30,14.700000000000001,128,625,435,76.29,5
2023,1,5,22,30,14.100000000000001,93,698,365,77.49,4.5
2023,1,5,23,30,13.3,64,478,183,81.53,3.7
2023,1,6,0,30,12.200000000000001,31,243,50,89.83,2.7
2023,1,6,1,30,11.3,0,0,0,95,2.3000000000000003
2023,1,6,2,30,11.100000000000001,0,0,0,96.52,2.3000000000000003
2023,1,6,3,30,10.8,0,0,0,97.79,2.2
2023,1,6,4,30,10.3,0,0,0,98.4,2.1
2023,1,6,5,30,9.9,0,0,0,97.04,1.9000000000000001
2023,1,6,6,30,9.4,0,0,0,96.60000000000001,1.7000000000000002
2023,1,6,7,30,9.1,0,0,0,95.18,1.5
2023,1,6,8,30,8.9,0,0,0,92.94,1.4000000000000001
2023,1,6,9,30,8.6,0,0,0,91.77,1.5
2023,1,6,10,30,8.200000000000001,0,0,0,91.19,1.6
2023,1,6,11,30,7.800000000000001,0,0,0,90.41,1.7000000000000002
2023,1,6,12,30,7.6000000000000005,0,0,0,88.53,1.6
2023,1,6,13,30,7.6000000000000005,0,0,0,85.45,1.5
2023,1,6,14,30,7.9,0,0,0,81.42,1.3
2023,1,6,15,30,9.5,29,362,60,74.78,1.5
2023,1,6,16,30,11.5,56,687,232,70.18,1.7000000000000002
2023,1,6,17,30,13.4,68,825,395,59.5,1.7000000000000002
2023,1,6,18,30,15.200000000000001,74,890,515,48.77,1.7000000000000002
2023,1,6,19,30,16.5,76,917,577,42.82,1.7000000000000002
2023,1,6,20,30,17.400000000000002,78,914,576,41.910000000000004,1.4000000000000001
2023,1,6,21,30,17.7,76,884,512,39.93,1.4000000000000001
2023,1,6,22,30,17.2,69,819,390,42.24,1.5
2023,1,6,23,30,15.200000000000001,55,682,226,54.050000000000004,1.3
2023,1,7,0,30,12.700000000000001,28,348,56,71.64,1
2023,1,7,1,30,11.200000000000001,0,0,0,72.54,1.1
2023,1,7,2,30,10.4,0,0,0,74.73,1.3
2023,1,7,3,30,9.9,0,0,0,76.14,1.4000000000000001
2023,1,7,4,30,9.5,0,0,0,76.60000000000001,1.7000000000000002
2023,1,7,5,30,9.1,0,0,0,76.27,2
2023,1,7,6,30,8.9,0,0,0,74.15,2.2
2023,1,7,7,30,8.700000000000001,0,0,0,72.22,2.3000000000000003
2023,1,7,8,30,8.6,0,0,0,70.47,2.3000000000000003
2023,1,7,9,30,8.5,0,0,0,69.46000000000001,2.2
2023,1,7,10,30,8.6,0,0,0,68.98,2.2
2023,1,7,11,30,8.6,0,0,0,69.26,2.3000000000000003
2023,1,7,12,30,8.5,0,0,0,69.54,2.3000000000000003
2023,1,7,13,30,8.6,0,0,0,69.43,2.2
2023,1,7,14,30,9.3,0,0,0,67.21000000000001,2.1
2023,1,7,15,30,11.3,38,7,39,62.730000000000004,2.3000000000000003
2023,1,7,16,30,13.4,75,557,218,58.88,2.5
2023,1,7,17,30,14.700000000000001,142,81,174,55.53,2.2
2023,1,7,18,30,15.700000000000001,189,514,444,53.9,1.7000000000000002
2023,1,7,19,30,16.6,226,416,454,50.52,1.5
2023,1,7,20,30,17.3,234,380,442,48.09,1.5
2023,1,7,21,30,17.400000000000002,232,317,389,47.32,1.4000000000000001
2023,1,7,22,30,16.7,177,370,323,51.85,0.9
2023,1,7,23,30,15.600000000000001,112,137,147,63.49,0.6000000000000001
2023,1,8,0,30,14.8,42,11,43,62.31,0.30000000000000004
2023,1,8,1,30,14.200000000000001,0,0,0,62.07,0.30000000000000004
2023,1,8,2,30,13.700000000000001,0,0,0,63.33,0.5
2023,1,8,3,30,13.200000000000001,0,0,0,65.37,0.5
2023,1,8,4,30,12.700000000000001,0,0,0,68.52,0.6000000000000001
2023,1,8,5,30,12.3,0,0,0,71.84,0.6000000000000001
2023,1,8,6,30,11.9,0,0,0,73.96000000000001,0.6000000000000001
2023,1,8,7,30,11.600000000000001,0,0,0,76.21000000000001,0.8
2023,1,8,8,30,11.3,0,0,0,78.42,0.9
2023,1,8,9,30,11,0,0,0,79.38,0.9
2023,1,8,10,30,10.9,0,0,0,79.54,1
2023,1,8,11,30,10.9,0,0,0,79.41,0.9
2023,1,8,12,30,11,0,0,0,78.34,0.8
2023,1,8,13,30,10.9,0,0,0,78.67,0.8
2023,1,8,14,30,11,0,0,0,78.10000000000001,0.9
2023,1,8,15,30,12.3,30,46,34,73.33,1.1
2023,1,8,16,30,14.3,59,638,223,68.21000000000001,1.4000000000000001
2023,1,8,17,30,15.9,172,55,194,58.910000000000004,1.6
2023,1,8,18,30,17,79,851,503,52.31,1.8
2023,1,8,19,30,17.8,229,295,391,49.74,2
2023,1,8,20,30,18.1,257,29,273,49.69,2.3000000000000003
2023,1,8,21,30,18,239,98,288,50.730000000000004,2.4000000000000004
2023,1,8,22,30,17.3,195,152,255,53.56,2.2
2023,1,8,23,30,15.700000000000001,122,90,145,61.17,1.6
2023,1,9,0,30,14.100000000000001,25,1,25,76.03,1
2023,1,9,1,30,13.5,0,0,0,79.35000000000001,0.8
2023,1,9,2,30,13.5,0,0,0,78.84,0.6000000000000001
2023,1,9,3,30,13.4,0,0,0,79.36,0.6000000000000001
2023,1,9,4,30,13.100000000000001,0,0,0,81.24,0.7000000000000001
2023,1,9,5,30,13,0,0,0,81.53,0.8
2023,1,9,6,30,13,0,0,0,81.85000000000001,0.9
2023,1,9,7,30,12.9,0,0,0,83.23,1.1
2023,1,9,8,30,12.600000000000001,0,0,0,84.85000000000001,1.5
2023,1,9,9,30,12.4,0,0,0,85.45,1.9000000000000001
2023,1,9,10,30,12.4,0,0,0,86.04,2.3000000000000003
2023,1,9,11,30,12.3,0,0,0,88.05,2.7
2023,1,9,12,30,12.3,0,0,0,90.17,3.1
2023,1,9,13,30,12.3,0,0,0,92.27,3.4000000000000004
2023,1,9,14,30,12.5,0,0,0,92.99,3.9000000000000004
2023,1,9,15,30,12.9,11,0,11,92.26,4.4
2023,1,9,16,30,13.3,18,0,18,91.8,5
2023,1,9,17,30,13.9,93,4,95,91.12,5.4
2023,1,9,18,30,14.5,74,1,74,90.86,5.6000000000000005
2023,1,9,19,30,14.9,124,3,126,90.82000000000001,5.7
2023,1,9,20,30,15,42,0,42,91.23,5.7
2023,1,9,21,30,15,39,0,39,91.47,5.800000000000001
2023,1,9,22,30,14.700000000000001,60,1,60,92.76,5.800000000000001
2023,1,9,23,30,14.4,34,2,35,93.92,5.800000000000001
2023,1,10,0,30,14.200000000000001,9,0,9,94.31,5.9
2023,1,10,1,30,14.200000000000001,0,0,0,93.79,6.1000000000000005
2023,1,10,2,30,14.200000000000001,0,0,0,94,6.300000000000001
2023,1,10,3,30,14.200000000000001,0,0,0,94.18,6.300000000000001
2023,1,10,4,30,14.200000000000001,0,0,0,94.16,6.300000000000001
2023,1,10,5,30,14.200000000000001,0,0,0,94.18,6.4
2023,1,10,6,30,14.200000000000001,0,0,0,94.10000000000001,6.1000000000000005
2023,1,10,7,30,14.100000000000001,0,0,0,94.58,5.7
2023,1,10,8,30,14.100000000000001,0,0,0,94.3,5.300000000000001
2023,1,10,9,30,14,0,0,0,94.33,5
2023,1,10,10,30,13.9,0,0,0,94.48,4.800000000000001
2023,1,10,11,30,13.9,0,0,0,94.49,4.7
2023,1,10,12,30,13.9,0,0,0,94.47,4.7
2023,1,10,13,30,14,0,0,0,94.29,4.6000000000000005
2023,1,10,14,30,14.100000000000001,0,0,0,94.41,4.7
2023,1,10,15,30,14.4,18,0,18,93.54,5
2023,1,10,16,30,14.600000000000001,102,28,109,93.76,5.1000000000000005
2023,1,10,17,30,14.700000000000001,31,1,31,93.8,5.5
2023,1,10,18,30,14.5,99,41,120,93.04,6.1000000000000005
2023,1,10,19,30,14.200000000000001,188,30,205,88.98,6.300000000000001
2023,1,10,20,30,14.200000000000001,194,20,205,81.9,5.7
2023,1,10,21,30,14.200000000000001,235,189,330,75.39,5.1000000000000005
2023,1,10,22,30,13.8,161,20,169,73.41,4.5
2023,1,10,23,30,12.8,128,68,146,78.96000000000001,3.4000000000000004
2023,1,11,0,30,11.600000000000001,29,1,29,89.94,2.3000000000000003
2023,1,11,1,30,11,0,0,0,94.28,1.9000000000000001
2023,1,11,2,30,11.100000000000001,0,0,0,94.92,1.8
2023,1,11,3,30,11.200000000000001,0,0,0,94.33,1.8
2023,1,11,4,30,11.200000000000001,0,0,0,93.94,1.9000000000000001
2023,1,11,5,30,11,0,0,0,94.47,1.8
2023,1,11,6,30,10.700000000000001,0,0,0,94.96000000000001,1.7000000000000002
2023,1,11,7,30,10.5,0,0,0,94.88,1.4000000000000001
2023,1,11,8,30,10.3,0,0,0,94.77,1
2023,1,11,9,30,10.200000000000001,0,0,0,93.8,0.8
2023,1,11,10,30,10,0,0,0,93.15,0.8
2023,1,11,11,30,9.600000000000001,0,0,0,93.39,0.9
2023,1,11,12,30,9.3,0,0,0,92.36,0.8
2023,1,11,13,30,9.200000000000001,0,0,0,90.64,0.9
2023,1,11,14,30,9.4,0,0,0,87.88,1
2023,1,11,15,30,10.200000000000001,37,7,38,85.46000000000001,1.1
2023,1,11,16,30,11.3,88,40,98,81.48,1.2000000000000002
2023,1,11,17,30,12.5,191,167,258,74.01,1
2023,1,11,18,30,13.4,200,442,422,67.73,0.9
2023,1,11,19,30,14.100000000000001,211,448,460,62.35,1.1
2023,1,11,20,30,14.8,197,510,481,58.97,1.2000000000000002
2023,1,11,21,30,15.3,175,516,436,56.35,1.1
2023,1,11,22,30,15.3,171,344,311,56.15,1
2023,1,11,23,30,14.4,124,185,173,60.660000000000004,0.9
2023,1,12,0,30,13.100000000000001,33,2,33,73.26,0.8
2023,1,12,1,30,12,0,0,0,75.27,1
2023,1,12,2,30,11.3,0,0,0,78.55,1.2000000000000002
2023,1,12,3,30,10.8,0,0,0,81.43,1.3
2023,1,12,4,30,10.3,0,0,0,83.28,1.4000000000000001
2023,1,12,5,30,10,0,0,0,83.31,1.6
2023,1,12,6,30,9.8,0,0,0,81.95,1.8
2023,1,12,7,30,9.600000000000001,0,0,0,80.03,2
2023,1,12,8,30,9.4,0,0,0,78.37,2.2
2023,1,12,9,30,9.4,0,0,0,76.18,2.3000000000000003
2023,1,12,10,30,9.4,0,0,0,74.44,2.5
2023,1,12,11,30,9.5,0,0,0,72.68,2.8000000000000003
2023,1,12,12,30,9.600000000000001,0,0,0,71.34,3.1
2023,1,12,13,30,9.600000000000001,0,0,0,70.89,3.2
2023,1,12,14,30,10.3,0,0,0,67.51,3.4000000000000004
2023,1,12,15,30,11.8,40,42,44,63.35,3.7
2023,1,12,16,30,13.600000000000001,121,232,181,58.76,4
2023,1,12,17,30,15.4,187,243,285,54.230000000000004,3.8000000000000003
2023,1,12,18,30,17.2,185,514,444,50.94,3.5
2023,1,12,19,30,18.5,206,504,487,47.19,3.1
2023,1,12,20,30,19.1,208,489,481,44.92,2.6
2023,1,12,21,30,19.1,208,408,415,46.160000000000004,2
2023,1,12,22,30,18.400000000000002,176,346,318,54.26,1.3
2023,1,12,23,30,16.900000000000002,128,254,196,69.07000000000001,1
2023,1,13,0,30,15.4,50,24,52,66.35,1
2023,1,13,1,30,14.4,0,0,0,63.97,1.1
2023,1,13,2,30,13.8,0,0,0,65.57000000000001,1.2000000000000002
2023,1,13,3,30,13.3,0,0,0,66.91,1.3
2023,1,13,4,30,12.9,0,0,0,67.85,1.4000000000000001
2023,1,13,5,30,12.600000000000001,0,0,0,68.16,1.4000000000000001
2023,1,13,6,30,12.4,0,0,0,67.63,1.4000000000000001
2023,1,13,7,30,12.3,0,0,0,66.57000000000001,1.4000000000000001
2023,1,13,8,30,12.200000000000001,0,0,0,65.64,1.4000000000000001
2023,1,13,9,30,12.4,0,0,0,63.51,1.3
2023,1,13,10,30,12.600000000000001,0,0,0,61.11,1.2000000000000002
2023,1,13,11,30,12.8,0,0,0,59.08,1.2000000000000002
2023,1,13,12,30,12.8,0,0,0,58.480000000000004,1.2000000000000002
2023,1,13,13,30,12.4,0,0,0,60.19,1.4000000000000001
2023,1,13,14,30,12.100000000000001,0,0,0,62.33,1.5
2023,1,13,15,30,12.600000000000001,43,20,45,63.84,1.4000000000000001
2023,1,13,16,30,13.9,127,251,193,66.49,1.2000000000000002
2023,1,13,17,30,15.100000000000001,188,318,317,68.1,1.2000000000000002
2023,1,13,18,30,15.700000000000001,229,345,404,62.92,1.4000000000000001
2023,1,13,19,30,15.9,278,220,401,63.26,1.3
2023,1,13,20,30,16.1,259,306,431,64.73,1.1
2023,1,13,21,30,15.9,267,126,331,66.67,0.9
2023,1,13,22,30,15.600000000000001,209,241,308,70.41,0.7000000000000001
2023,1,13,23,30,14.600000000000001,131,89,155,80,0.5
2023,1,14,0,30,13.5,41,6,42,83.75,0.4
2023,1,14,1,30,12.9,0,0,0,83.78,0.2
2023,1,14,2,30,12.8,0,0,0,84.28,0.2
2023,1,14,3,30,12.600000000000001,0,0,0,85.28,0.4
2023,1,14,4,30,12.3,0,0,0,86.97,0.5
2023,1,14,5,30,12,0,0,0,88.93,0.5
2023,1,14,6,30,11.9,0,0,0,90.72,0.5
2023,1,14,7,30,11.9,0,0,0,92.09,0.4
2023,1,14,8,30,11.8,0,0,0,93.23,0.4
2023,1,14,9,30,11.8,0,0,0,92.34,0.5
2023,1,14,10,30,11.600000000000001,0,0,0,91.32000000000001,0.9
2023,1,14,11,30,11.200000000000001,0,0,0,91.19,1.4000000000000001
2023,1,14,12,30,11,0,0,0,90.15,1.6
2023,1,14,13,30,10.8,0,0,0,90.12,1.6
2023,1,14,14,30,11,0,0,0,89.47,1.5
2023,1,14,15,30,11.5,17,0,17,90.44,1.8
2023,1,14,16,30,12.100000000000001,73,4,74,91.26,2.5
2023,1,14,17,30,12.4,88,3,89,91.48,3.2
2023,1,14,18,30,12.600000000000001,54,0,54,91.96000000000001,3.6
2023,1,14,19,30,12.9,54,0,54,92.05,4
2023,1,14,20,30,13.100000000000001,40,0,40,93.08,4.4
2023,1,14,21,30,13.4,39,0,39,93.54,4.9
2023,1,14,22,30,13.5,31,0,31,94.61,5.2
2023,1,14,23,30,13.3,42,1,42,95.61,5.2
2023,1,15,0,30,13,8,0,8,95.14,4.800000000000001
2023,1,15,1,30,13,0,0,0,94.28,4.5
2023,1,15,2,30,13.100000000000001,0,0,0,94.72,4.4
2023,1,15,3,30,13.200000000000001,0,0,0,95.45,4.3
2023,1,15,4,30,13.100000000000001,0,0,0,96.60000000000001,4.2
2023,1,15,5,30,12.8,0,0,0,96.63,4.1000000000000005
2023,1,15,6,30,12.3,0,0,0,96.72,4.1000000000000005
2023,1,15,7,30,11.8,0,0,0,95.57000000000001,4.1000000000000005
2023,1,15,8,30,11.5,0,0,0,93.95,3.8000000000000003
2023,1,15,9,30,11.4,0,0,0,93.02,3.5
2023,1,15,10,30,11.200000000000001,0,0,0,92.86,3.4000000000000004
2023,1,15,11,30,11.100000000000001,0,0,0,92.65,3.3000000000000003
2023,1,15,12,30,10.9,0,0,0,93.32000000000001,3.3000000000000003
2023,1,15,13,30,10.600000000000001,0,0,0,93.36,3.1
